"","age","sex","born","educ","income","cohort","income16","granborn","income16_cat","income_cat"
"1",65,"Female","Yes",12,NA,1956,NA,"Four",NA,NA
"2",60,"Male","Yes",16,13,1961,26,"Two","$170,000 OR OVER",NA
"3",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"4",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"5",NA,"Female","No",14,NA,9999,NA,"Four",NA,NA
"6",33,"Female","Yes",17,NA,1988,NA,"None",NA,NA
"7",20,"Male","No",12,12,2001,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"8",NA,"Female","Yes",19,12,9999,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"9",76,"Male","Yes",13,12,1945,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"10",61,"Female","No",16,8,1960,8,"Four","$8,000 TO $9,999","$8,000 TO $9,999"
"11",37,"Male","Yes",11,12,1984,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"12",23,"Male","No",15,12,1998,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"13",71,"Female","Yes",16,13,1950,26,NA,"$170,000 OR OVER",NA
"14",21,"Male","Yes",14,NA,2000,NA,"None",NA,NA
"15",75,"Male","Yes",18,13,1946,26,"Four","$170,000 OR OVER",NA
"16",20,"Female","Yes",14,12,2001,23,"Three","$110,000 TO $129,999","$25,000 OR MORE"
"17",65,"Female","No",12,11,1956,13,"Four","$20,000 TO $22,499","$20,000 TO $24,999"
"18",56,"Female","Yes",14,NA,1965,NA,"One",NA,NA
"19",22,"Female","Yes",15,12,1999,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"20",33,"Female","No",17,12,1988,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"21",NA,"Male","Yes",16,13,9999,27,"Four",NA,NA
"22",31,"Male","Yes",16,12,1990,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"23",55,"Female","Yes",16,13,1966,26,"Four","$170,000 OR OVER",NA
"24",33,"Female","Yes",18,8,1988,8,"One","$8,000 TO $9,999","$8,000 TO $9,999"
"25",37,"Male","Yes",14,12,1984,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"26",53,"Male","Yes",12,12,1968,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"27",43,"Female","No",20,12,1978,21,"Three","$75,000 TO $89,999","$25,000 OR MORE"
"28",44,"Female","No",16,13,1977,26,"Four","$170,000 OR OVER",NA
"29",32,"Male","Yes",12,NA,1989,NA,NA,NA,NA
"30",65,"Male","Yes",12,12,1956,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"31",30,"Female","Yes",16,12,1991,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"32",52,"Female","Yes",18,12,1969,26,NA,"$170,000 OR OVER","$25,000 OR MORE"
"33",34,"Male","No",20,12,1987,20,"Three","$60,000 TO $74,999","$25,000 OR MORE"
"34",53,"Male","Yes",16,12,1968,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"35",NA,"Female","Yes",12,12,9999,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"36",62,"Female","Yes",13,12,1959,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"37",62,"Female","Yes",8,11,1959,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"38",42,"Male","Yes",13,12,1979,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"39",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"40",29,"Male","Yes",17,12,1992,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"41",53,"Female","Yes",16,13,1968,26,"None","$170,000 OR OVER",NA
"42",51,"Female","Yes",16,12,1970,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"43",24,"Female","Yes",16,9,1997,9,"Two","$10,000 TO $12,499","$10,000 TO $14,999"
"44",51,"Male","Yes",20,13,1970,26,"Three","$170,000 OR OVER",NA
"45",26,"Female","Yes",12,NA,1995,NA,NA,NA,NA
"46",37,"Male","Yes",17,NA,1984,NA,"None",NA,NA
"47",28,"Female","Yes",14,10,1993,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"48",30,"Male","Yes",14,12,1991,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"49",57,"Male","No",18,12,1964,23,NA,"$110,000 TO $129,999","$25,000 OR MORE"
"50",45,"Male","Yes",16,13,1976,26,"None","$170,000 OR OVER",NA
"51",43,"Female","No",16,11,1978,14,"Four","$22,500 TO $24,999","$20,000 TO $24,999"
"52",31,"Female","Yes",13,12,1990,19,"Two","$50,000 TO $59,999","$25,000 OR MORE"
"53",23,"Female","Yes",16,13,1998,26,"Two","$170,000 OR OVER",NA
"54",64,"Female","Yes",14,12,1957,19,"Two","$50,000 TO $59,999","$25,000 OR MORE"
"55",82,"Female","Yes",16,12,1939,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"56",NA,"Male","Yes",14,12,9999,22,"One","$90,000 TO $109,999","$25,000 OR MORE"
"57",58,"Male","No",3,11,1963,14,"Four","$22,500 TO $24,999","$20,000 TO $24,999"
"58",89,"Male","Yes",13,12,1932,15,"Four","$25,000 TO $29,999","$25,000 OR MORE"
"59",51,"Male","Yes",14,12,1970,24,"Four","$130,000 TO $149,999","$25,000 OR MORE"
"60",78,"Male","Yes",16,12,1943,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"61",NA,NA,"Yes",20,NA,9999,NA,"None",NA,NA
"62",NA,"Male","Yes",14,12,9999,22,"One","$90,000 TO $109,999","$25,000 OR MORE"
"63",NA,"Male","Yes",17,12,9999,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"64",42,"Female","Yes",17,12,1979,16,"One","$30,000 TO $34,999","$25,000 OR MORE"
"65",64,"Male","Yes",14,12,1957,16,"Three","$30,000 TO $34,999","$25,000 OR MORE"
"66",51,"Female","Yes",15,12,1970,18,"One","$40,000 TO $49,999","$25,000 OR MORE"
"67",NA,"Female","Yes",16,12,9999,16,NA,"$30,000 TO $34,999","$25,000 OR MORE"
"68",51,"Female","Yes",6,NA,1970,NA,NA,NA,NA
"69",50,"Male","Yes",14,12,1971,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"70",55,"Female","No",12,12,1966,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"71",57,"Male","No",14,12,1964,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"72",62,"Male","Yes",16,12,1959,24,NA,"$130,000 TO $149,999","$25,000 OR MORE"
"73",62,"Female","Yes",12,12,1959,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"74",33,"Male","Yes",12,12,1988,20,NA,"$60,000 TO $74,999","$25,000 OR MORE"
"75",72,"Female","Yes",12,12,1949,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"76",64,"Female","Yes",18,12,1957,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"77",42,"Male","Yes",16,12,1979,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"78",73,"Female","Yes",16,12,1948,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"79",49,"Male","Yes",16,NA,1972,NA,"Four",NA,NA
"80",63,"Female","Yes",10,11,1958,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"81",32,"Female","Yes",18,12,1989,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"82",22,"Male","Yes",12,NA,1999,NA,"None",NA,NA
"83",65,"Male","Yes",16,9,1956,9,"Two","$10,000 TO $12,499","$10,000 TO $14,999"
"84",71,"Female","Yes",16,13,1950,26,"None","$170,000 OR OVER",NA
"85",43,"Male","Yes",15,13,1978,26,"One","$170,000 OR OVER",NA
"86",55,"Female","Yes",16,13,1966,26,NA,"$170,000 OR OVER",NA
"87",33,"Female","Yes",12,9,1988,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"88",28,"Male","Yes",13,12,1993,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"89",62,"Female","Yes",14,NA,1959,NA,"None",NA,NA
"90",55,"Female","Yes",15,12,1966,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"91",41,"Male","No",16,13,1980,26,"Four","$170,000 OR OVER",NA
"92",66,"Male","Yes",14,11,1955,13,"Two","$20,000 TO $22,499","$20,000 TO $24,999"
"93",74,"Male","Yes",18,12,1947,22,"Two","$90,000 TO $109,999","$25,000 OR MORE"
"94",NA,"Female","Yes",18,12,9999,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"95",51,"Male","Yes",17,13,1970,26,"None","$170,000 OR OVER",NA
"96",66,"Female","Yes",18,12,1955,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"97",70,"Male","Yes",13,12,1951,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"98",NA,"Female","Yes",18,12,9999,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"99",57,"Female","Yes",14,12,1964,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"100",60,"Male","No",8,9,1961,10,NA,"$12,500 TO $14,999","$10,000 TO $14,999"
"101",41,"Male","Yes",16,12,1980,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"102",56,"Male","Yes",12,NA,1965,NA,"None",NA,NA
"103",46,"Female","Yes",14,12,1975,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"104",41,"Female","Yes",20,13,1980,26,"None","$170,000 OR OVER",NA
"105",22,"Female","Yes",15,12,1999,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"106",61,"Male","No",20,13,1960,26,"Four","$170,000 OR OVER",NA
"107",79,"Male","No",20,13,1942,26,"Two","$170,000 OR OVER",NA
"108",38,"Male","Yes",18,12,1983,23,"One","$110,000 TO $129,999","$25,000 OR MORE"
"109",64,"Female","Yes",16,12,1957,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"110",68,"Male","No",20,12,1953,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"111",28,"Male","Yes",16,12,1993,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"112",33,"Male","Yes",18,12,1988,20,NA,"$60,000 TO $74,999","$25,000 OR MORE"
"113",38,"Female","Yes",18,13,1983,26,"None","$170,000 OR OVER",NA
"114",32,"Female","No",18,12,1989,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"115",41,"Female","No",16,NA,1980,NA,"Four",NA,NA
"116",54,"Female","Yes",13,12,1967,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"117",NA,NA,"Yes",13,1,9999,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"118",71,"Female","No",16,12,1950,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"119",89,"Female","Yes",16,12,1932,25,"One","$150,000 TO $169,999","$25,000 OR MORE"
"120",63,"Female","Yes",13,11,1958,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"121",73,"Male","Yes",16,12,1948,25,NA,"$150,000 TO $169,999","$25,000 OR MORE"
"122",38,"Female","Yes",16,13,1983,26,"None","$170,000 OR OVER",NA
"123",59,"Female","Yes",12,12,1962,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"124",56,"Female","Yes",12,12,1965,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"125",25,"Male","Yes",17,12,1996,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"126",28,"Female","Yes",16,13,1993,26,"None","$170,000 OR OVER",NA
"127",24,"Female","Yes",16,13,1997,26,"None","$170,000 OR OVER",NA
"128",37,"Male","Yes",19,13,1984,26,"None","$170,000 OR OVER",NA
"129",40,"Female","Yes",18,13,1981,26,"None","$170,000 OR OVER",NA
"130",61,"Female","Yes",18,13,1960,26,"Two","$170,000 OR OVER",NA
"131",67,"Female","Yes",16,13,1954,26,"Three","$170,000 OR OVER",NA
"132",25,"Female","No",16,12,1996,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"133",58,"Male","Yes",12,12,1963,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"134",84,"Female","Yes",16,12,1937,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"135",68,"Female","Yes",12,9,1953,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"136",63,"Female","Yes",11,12,1958,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"137",36,"Female","Yes",16,12,1985,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"138",67,"Male","Yes",14,12,1954,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"139",53,"Female","Yes",19,13,1968,26,"None","$170,000 OR OVER",NA
"140",60,"Female","Yes",16,12,1961,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"141",87,"Male","Yes",12,12,1934,15,"Two","$25,000 TO $29,999","$25,000 OR MORE"
"142",74,"Female","Yes",20,12,1947,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"143",66,"Female","Yes",14,2,1955,2,"None","$1,000 TO $2,999","$1,000 TO $2,999"
"144",46,"Female","Yes",16,12,1975,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"145",43,"Male","No",19,12,1978,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"146",NA,"Female","Yes",14,NA,9999,NA,NA,NA,NA
"147",49,"Male","Yes",12,9,1972,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"148",74,"Male","Yes",14,12,1947,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"149",54,"Female","Yes",16,10,1967,12,"None","$17,500 TO $19,999","$15,000 TO $19,999"
"150",53,"Male","Yes",20,12,1968,16,"Two","$30,000 TO $34,999","$25,000 OR MORE"
"151",NA,"Female","Yes",17,NA,9999,NA,"One",NA,NA
"152",62,"Male","Yes",14,12,1959,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"153",65,"Female","Yes",19,12,1956,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"154",41,"Female","Yes",20,9,1980,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"155",46,"Male","No",16,6,1975,6,NA,"$6,000 TO $6,999","$6,000 TO $6,999"
"156",64,"Female","Yes",16,12,1957,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"157",79,"Female","Yes",18,12,1942,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"158",33,"Female","Yes",16,9,1988,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"159",74,"Male","Yes",14,12,1947,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"160",75,"Female","Yes",16,12,1946,25,"Two","$150,000 TO $169,999","$25,000 OR MORE"
"161",74,"Male","Yes",16,12,1947,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"162",65,"Male","Yes",12,12,1956,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"163",41,"Female","Yes",16,12,1980,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"164",NA,NA,"Yes",18,NA,9999,NA,"Four",NA,NA
"165",57,"Male","Yes",18,12,1964,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"166",35,"Female","No",12,NA,1986,NA,NA,NA,NA
"167",36,"Female","Yes",13,12,1985,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"168",43,"Female","Yes",14,12,1978,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"169",NA,"None of These","No",12,10,9999,11,"Three","$15,000 TO $17,499","$15,000 TO $19,999"
"170",44,"Female","Yes",13,12,1977,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"171",67,"Female","Yes",10,9,1954,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"172",45,"Male","Yes",14,12,1976,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"173",NA,"Female","Yes",13,12,9999,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"174",36,"Female","No",16,13,1985,26,"Four","$170,000 OR OVER",NA
"175",40,"Female","Yes",17,13,1981,26,"None","$170,000 OR OVER",NA
"176",33,"Male","Yes",16,NA,1988,NA,"None",NA,NA
"177",57,"Male","Yes",12,13,1964,26,"One","$170,000 OR OVER",NA
"178",32,"Female","No",16,12,1989,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"179",69,"Male","Yes",12,12,1952,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
